assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	ncbi_taxonomy_x	ncbi_taxonomy_y	NCBI_Domain	NCBI_Phylum	NCBI_Class	NCBI_Order	NCBI_Family	NCBI_Genus	NCBI_Species	GCF
GCF_004803795.1	PRJNA224116	SAMN03737987		representative genome	203	203	Campylobacter rectus	strain=ATCC 33238		latest	Complete Genome	Major	Full	2019/04/23	ASM480379v1	USDA, ARS, WRRC	GCA_004803795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/803/795/GCF_004803795.1_ASM480379v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter rectus	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter rectus	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_rectus	004803795
GCF_004803815.1	PRJNA224116	SAMN03737988		representative genome	204	204	Campylobacter showae	strain=ATCC 51146		latest	Complete Genome	Major	Full	2019/04/23	ASM480381v1	USDA, ARS, WRRC	GCA_004803815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/803/815/GCF_004803815.1_ASM480381v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter showae	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter showae	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_showae	004803815
GCF_003213725.2	PRJNA224116	SAMD00106671		representative genome	213	213	Helicobacter cinaedi	strain=P01D0000		latest	Complete Genome	Major	Full	2018/06/09	ASM321372v2	Microbiology, Graduate School of Medical Sciences, Kyushu University	GCA_003213725.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/213/725/GCF_003213725.2_ASM321372v2			d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter cinaedi	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter cinaedi	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter_cinaedi	003213725
GCF_900476215.1	PRJNA224116	SAMEA44549668		representative genome	217	217	Helicobacter mustelae	strain=NCTC12198		latest	Complete Genome	Major	Full	2018/06/17	51342_F02	SC	GCA_900476215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/215/GCF_900476215.1_51342_F02		assembly from type material	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter mustelae	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter mustelae	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter_mustelae	900476215
GCF_004328865.1	PRJNA224116	SAMN05271512		representative genome	227	227	Pseudoalteromonas carrageenovora	strain=KCTC 22325		latest	Complete Genome	Major	Full	2019/03/06	ASM432886v1	Korea Research Institute of Bioscience and Biotechnology	GCA_004328865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/328/865/GCF_004328865.1_ASM432886v1			d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas carrageenovora	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Pseudoalteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas carrageenovora	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas_carrageenovora	004328865
GCF_900475375.1	PRJNA224116	SAMEA3643315		representative genome	238	238	Elizabethkingia meningoseptica	strain=NCTC10016		latest	Complete Genome	Major	Full	2018/06/17	42685_B01	SC	GCA_900475375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/375/GCF_900475375.1_42685_B01		assembly from type material	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia meningoseptica	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia meningoseptica	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Elizabethkingia	Elizabethkingia_meningoseptica	900475375
GCF_009834475.1	PRJNA224116	SAMN04270324		representative genome	247	247	Empedobacter brevis	strain=BCLYD2		latest	Complete Genome	Major	Full	2020/01/08	ASM983447v1	Institute of Plant Protection, Chinese Academy of Agricultural Sciences	GCA_009834475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/834/475/GCF_009834475.1_ASM983447v1			d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Empedobacter;s__Empedobacter brevis	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Empedobacter;s__Empedobacter brevis	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Empedobacter	Empedobacter_brevis	009834475
GCF_900636535.1	PRJNA224116	SAMEA3643324		representative genome	250	250	Chryseobacterium gleum	strain=NCTC11432		latest	Complete Genome	Major	Full	2018/12/20	42727_A01	SC	GCA_900636535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/535/GCF_900636535.1_42727_A01		assembly from type material	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium gleum	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium gleum	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_gleum	900636535
GCF_003815915.1	PRJNA224116	SAMN05421682		representative genome	254	254	Chryseobacterium indoltheticum	strain=ATCC 27950		latest	Complete Genome	Major	Full	2018/11/25	ASM381591v1	Bacterial Special Pathogens Branch (CDC)	GCA_003815915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/915/GCF_003815915.1_ASM381591v1		assembly from type material	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium indoltheticum	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium indoltheticum	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium_indoltheticum	003815915
GCF_901482695.1	PRJNA224116	SAMEA3643323		representative genome	259	259	Sphingobacterium thalpophilum	strain=NCTC11429		latest	Complete Genome	Major	Full	2019/05/11	45076_G02	SC	GCA_901482695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/482/695/GCF_901482695.1_45076_G02		assembly from type material	d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium thalpophilum	d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium thalpophilum	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium_thalpophilum	901482695
GCF_004063735.1	PRJNA224116	SAMN10697283		representative genome	266	266	Paracoccus denitrificans	strain=ATCC 19367		latest	Complete Genome	Major	Full	2019/01/20	ASM406373v1	Guangdong Ocean University	GCA_004063735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/063/735/GCF_004063735.1_ASM406373v1			d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus denitrificans	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus denitrificans	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus_denitrificans	004063735
GCF_009586235.1	PRJNA224116	SAMN12612766		representative genome	292	292	Burkholderia cepacia	strain=BC16		latest	Complete Genome	Major	Full	2019/10/29	ASM958623v1	School of Pharmacy and Life Sciences	GCA_009586235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/586/235/GCF_009586235.1_ASM958623v1			d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia cepacia	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia cepacia	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia_cepacia	009586235
GCF_003574215.1	PRJNA224116	SAMD00115820		representative genome	297	297	Hydrogenophilus thermoluteolus	strain=TH-1		latest	Complete Genome	Major	Full	2018/06/21	ASM357421v1	Department of Biotechnology, The University of Tokyo	GCA_003574215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/574/215/GCF_003574215.1_ASM357421v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Hydrogenophilalia;o__Hydrogenophilales;f__Hydrogenophilaceae;g__Hydrogenophilus;s__Hydrogenophilus thermoluteolus	d__Bacteria;p__Proteobacteria;c__Hydrogenophilalia;o__Hydrogenophilales;f__Hydrogenophilaceae;g__Hydrogenophilus;s__Hydrogenophilus thermoluteolus	Bacteria	Proteobacteria	Hydrogenophilalia	Hydrogenophilales	Hydrogenophilaceae	Hydrogenophilus	Hydrogenophilus_thermoluteolus	003574215
GCF_001587155.1	PRJNA224116	SAMN04123299		representative genome	305	305	Ralstonia solanacearum	strain=IBSBF1503		latest	Complete Genome	Major	Full	2016/03/11	ASM158715v1	CIRAD	GCA_001587155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/587/155/GCF_001587155.1_ASM158715v1			d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia solanacearum	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia solanacearum	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia_solanacearum	001587155
GCF_015680045.1	PRJNA224116	SAMN16439930		representative genome	316	316	Pseudomonas stutzeri	strain=ZDHY95		latest	Complete Genome	Major	Full	2020/11/24	ASM1568004v1	The First Affiliated Hospital of Zhengzhou University	GCA_015680045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/680/045/GCF_015680045.1_ASM1568004v1			d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas stutzeri	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas stutzeri	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_stutzeri	015680045
GCF_009931375.1	PRJNA224116	SAMN10913710		representative genome	337	337	Burkholderia glumae	strain=257sh-1		latest	Complete Genome	Major	Full	2020/01/27	ASM993137v1	Louisiana State University	GCA_009931375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/931/375/GCF_009931375.1_ASM993137v1			d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia glumae	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia glumae	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia_glumae	009931375
GCF_015243835.1	PRJNA224116	SAMN12628543		representative genome	346	346	Xanthomonas citri	strain=UnB-Xtec2D		latest	Complete Genome	Major	Full	2020/11/05	ASM1524383v1	Universidade de Brasilia	GCA_015243835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/243/835/GCF_015243835.1_ASM1524383v1			d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas citri	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas citri	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas_citri	015243835
GCF_002220155.1	PRJNA224116	SAMN03775251		representative genome	353	353	Azotobacter chroococcum	strain=B3		latest	Complete Genome	Major	Full	2017/07/17	ASM222015v1	Princeton University	GCA_002220155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/155/GCF_002220155.1_ASM222015v1			d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Azotobacter;s__Azotobacter chroococcum	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Azotobacter;s__Azotobacter chroococcum	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter	Azotobacter_chroococcum	002220155
GCF_003667905.1	PRJNA224116	SAMN10169604		representative genome	358	358	Agrobacterium tumefaciens	strain=12D1		latest	Complete Genome	Major	Full	2018/10/21	ASM366790v1	Academia Sinica	GCA_003667905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/667/905/GCF_003667905.1_ASM366790v1			d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium tumefaciens	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium tumefaciens	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium_tumefaciens	003667905
GCF_001664385.1	PRJNA224116	SAMN03998634		representative genome	396	396	Rhizobium phaseoli	strain=R650		latest	Complete Genome	Major	Full	2016/06/17	ASM166438v1	Centro de Ciencias Genomicas UNAM	GCA_001664385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/385/GCF_001664385.1_ASM166438v1			d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium phaseoli	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__Rhizobium phaseoli	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium_phaseoli	001664385
GCF_014843995.1	PRJNA224116	SAMN16237465		representative genome	436	436	Komagataeibacter hansenii	strain=C110		latest	Complete Genome	Major	Full	2020/10/05	ASM1484399v1	Institute of Bioengineering, Research Center of Biotechnology of RAS	GCA_014843995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/843/995/GCF_014843995.1_ASM1484399v1			d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Komagataeibacter;s__Komagataeibacter hansenii	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Komagataeibacter;s__Komagataeibacter hansenii	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_hansenii	014843995
GCF_001941585.1	PRJNA224116	SAMN03988484		representative genome	446	446	Legionella pneumophila	strain=Philadelphia-1	AE	latest	Complete Genome	Major	Full	2017/01/10	ASM194158v1	Public Health Agency of Canada	GCA_001941585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/585/GCF_001941585.1_ASM194158v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella pneumophila	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella pneumophila	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella_pneumophila	001941585
GCF_000953655.1	PRJNA224116	SAMEA2785664		representative genome	449	449	Legionella hackeliae	strain=ATCC 35250		latest	Complete Genome	Major	Full	2014/12/09	LHA	INSTITUT PASTEUR	GCA_000953655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/655/GCF_000953655.1_LHA		assembly from type material	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella hackeliae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella hackeliae	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella_hackeliae	000953655
GCF_000953635.1	PRJNA224116	SAMEA2785665		representative genome	451	451	Tatlockia micdadei	strain=ATCC 33218		latest	Complete Genome	Major	Full	2014/10/21	LMI	INSTITUT PASTEUR	GCA_000953635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/635/GCF_000953635.1_LMI		assembly from type material	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Tatlockia;s__Tatlockia micdadei	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Tatlockia;s__Tatlockia micdadei	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Tatlockia	Tatlockia_micdadei	000953635
