Spirochaetes （order Leptospirales）： 8
GCF_001012925.1	PRJNA224116	SAMN03283813	JXNC00000000.1	na	159	159	Brachyspira hyodysenteriae	strain=NX		latest	Scaffold	Major	Full	2015/05/26	ASM101292v1	Murdoch University	GCA_001012925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/012/925/GCF_001012925.1_ASM101292v1			d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira_hyodysenteriae	001012925
GCF_001012935.1	PRJNA224116	SAMN03283750	JXNA00000000.1	na	159	159	Brachyspira hyodysenteriae	strain=865		latest	Scaffold	Major	Full	2015/05/26	ASM101293v1	Murdoch University	GCA_001012935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/012/935/GCF_001012935.1_ASM101293v1			d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira_hyodysenteriae	001012935
GCF_001012945.1	PRJNA224116	SAMN03283814	JXND00000000.1	na	159	159	Brachyspira hyodysenteriae	strain=B204		latest	Scaffold	Major	Full	2015/05/26	ASM101294v1	Murdoch University	GCA_001012945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/012/945/GCF_001012945.1_ASM101294v1			d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira_hyodysenteriae	001012945
GCF_001012995.1	PRJNA224116	SAMN03283816	JXNE00000000.1	na	159	159	Brachyspira hyodysenteriae	strain=B6933		latest	Scaffold	Major	Full	2015/05/26	ASM101299v1	Murdoch University	GCA_001012995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/012/995/GCF_001012995.1_ASM101299v1			d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira_hyodysenteriae	001012995
GCF_001013005.1	PRJNA224116	SAMN03285447	JXNF00000000.1	na	159	159	Brachyspira hyodysenteriae	strain=B78		latest	Scaffold	Major	Full	2015/05/26	ASM101300v1	Murdoch University	GCA_001013005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/013/005/GCF_001013005.1_ASM101300v1		assembly from type material	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira_hyodysenteriae	001013005
GCF_001013045.1	PRJNA224116	SAMN03285450	JXNI00000000.1	na	159	159	Brachyspira hyodysenteriae	strain=G44		latest	Scaffold	Major	Full	2015/05/26	ASM101304v1	Murdoch University	GCA_001013045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/013/045/GCF_001013045.1_ASM101304v1			d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira_hyodysenteriae	001013045
GCF_001013075.1	PRJNA224116	SAMN03285453	JXNK00000000.1	na	159	159	Brachyspira hyodysenteriae	strain=NSW15		latest	Scaffold	Major	Full	2015/05/26	ASM101307v1	Murdoch University	GCA_001013075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/013/075/GCF_001013075.1_ASM101307v1			d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira_hyodysenteriae	001013075
GCF_001013085.1	PRJNA224116	SAMN03285454	JXNL00000000.1	na	159	159	Brachyspira hyodysenteriae	strain=NSW5		latest	Scaffold	Major	Full	2015/05/26	ASM101308v1	Murdoch University	GCA_001013085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/013/085/GCF_001013085.1_ASM101308v1			d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira hyodysenteriae	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira_hyodysenteriae	001013085
GCF_900112165.1	PRJNA224116	SAMN02745150	FOKY00000000.1	representative genome	34097	34097	Brevinema andersonii	strain=ATCC 43811		latest	Scaffold	Major	Full	2016/11/02	IMG-taxon 2597490362 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900112165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/112/165/GCF_900112165.1_IMG-taxon_2597490362_annotated_assembly		assembly from type material	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brevinematales;f__Brevinemataceae;g__Brevinema;s__Brevinema andersonii	d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brevinematales;f__Brevinemataceae;g__Brevinema;s__Brevinema andersonii	Bacteria	Spirochaetes	Spirochaetia	Brevinematales	Brevinemataceae	Brevinema	Brevinema_andersonii	900112165

Planctomycetes （class Phycisphaerae）：8
assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	ncbi_taxonomy_x	ncbi_taxonomy_y	NCBI_Domain	NCBI_Phylum	NCBI_Class	NCBI_Order	NCBI_Family	NCBI_Genus	NCBI_Species	GCF
GCF_014207395.1	PRJNA224116	SAMN14908547	JACHEL000000000.1	representative genome	547188	547188	Phycisphaera mikurensis	strain=DSM 103959		latest	Scaffold	Major	Full	2020/08/14	ASM1420739v1	DOE Joint Genome Institute	GCA_014207395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/207/395/GCF_014207395.1_ASM1420739v1		assembly from type material	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Phycisphaera;s__Phycisphaera mikurensis	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Phycisphaera;s__Phycisphaera mikurensis	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaera	Phycisphaera_mikurensis	014207395
GCF_000284115.1	PRJNA224116	SAMD00061032		na	1142394	547188	Phycisphaera mikurensis NBRC 102666	strain=NBRC 102666		latest	Complete Genome	Major	Full	2012/03/28	ASM28411v1	National Institute of Technology and Evaluation	GCA_000284115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/115/GCF_000284115.1_ASM28411v1		assembly from type material	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Phycisphaera;s__Phycisphaera mikurensis	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Phycisphaera;s__Phycisphaera mikurensis	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaera	Phycisphaera_mikurensis	000284115
GCF_014207595.1	PRJNA224116	SAMN14908524	JACHGY000000000.1	representative genome	1385975	1385975	Algisphaera agarilytica	strain=DSM 103725		latest	Scaffold	Major	Full	2020/08/14	ASM1420759v1	DOE Joint Genome Institute	GCA_014207595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/207/595/GCF_014207595.1_ASM1420759v1		assembly from type material	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Algisphaera;s__Algisphaera agarilytica	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Algisphaera;s__Algisphaera agarilytica	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Algisphaera	Algisphaera_agarilytica	014207595
GCF_002007645.1	PRJNA224116	SAMN06284947		representative genome	1936003	1936003	Anaerohalosphaera lusitana	strain=ST-NAGAB-D1		latest	Complete Genome	Major	Full	2017/02/28	ASM200764v1	Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures	GCA_002007645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/645/GCF_002007645.1_ASM200764v1		assembly from type material	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalosphaeraceae;g__Anaerohalosphaera;s__Anaerohalosphaera lusitana	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalosphaeraceae;g__Anaerohalosphaera;s__Anaerohalosphaera lusitana	Bacteria	Planctomycetes	Phycisphaerae	Sedimentisphaerales	Anaerohalosphaeraceae	Anaerohalosphaera	Anaerohalosphaera_lusitana	002007645
GCF_001997385.1	PRJNA224116	SAMN06284442		representative genome	1940790	1940790	Sedimentisphaera cyanobacteriorum	strain=L21-RPul-D3		latest	Complete Genome	Major	Full	2017/02/14	ASM199738v1	Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures	GCA_001997385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/385/GCF_001997385.1_ASM199738v1		assembly from type material	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Sedimentisphaerales;f__Sedimentisphaeraceae;g__Sedimentisphaera;s__Sedimentisphaera cyanobacteriorum	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Sedimentisphaerales;f__Sedimentisphaeraceae;g__Sedimentisphaera;s__Sedimentisphaera cyanobacteriorum	Bacteria	Planctomycetes	Phycisphaerae	Sedimentisphaerales	Sedimentisphaeraceae	Sedimentisphaera	Sedimentisphaera_cyanobacteriorum	001997385
GCF_002117005.1	PRJNA224116	SAMN06284595		representative genome	1941349	1941349	Sedimentisphaera salicampi	strain=ST-PulAB-D4		latest	Complete Genome	Major	Full	2017/05/02	ASM211700v1	Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures	GCA_002117005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/005/GCF_002117005.1_ASM211700v1		assembly from type material	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Sedimentisphaerales;f__Sedimentisphaeraceae;g__Sedimentisphaera;s__Sedimentisphaera salicampi	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Sedimentisphaerales;f__Sedimentisphaeraceae;g__Sedimentisphaera;s__Sedimentisphaera salicampi	Bacteria	Planctomycetes	Phycisphaerae	Sedimentisphaerales	Sedimentisphaeraceae	Sedimentisphaera	Sedimentisphaera_salicampi	002117005
GCF_002239625.1	PRJNA224116	SAMN06284588	NHPQ00000000.1	na	1941349	1941349	Sedimentisphaera salicampi	strain=SM-PulAB-D3		latest	Scaffold	Major	Full	2017/08/01	ASM223962v1	Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures	GCA_002239625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/239/625/GCF_002239625.1_ASM223962v1			d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Sedimentisphaerales;f__Sedimentisphaeraceae;g__Sedimentisphaera;s__Sedimentisphaera salicampi	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Sedimentisphaerales;f__Sedimentisphaeraceae;g__Sedimentisphaera;s__Sedimentisphaera salicampi	Bacteria	Planctomycetes	Phycisphaerae	Sedimentisphaerales	Sedimentisphaeraceae	Sedimentisphaera	Sedimentisphaera_salicampi	002239625
GCF_007747445.1	PRJNA224116	SAMN10954040		na	2528020	2528020	Poriferisphaera corsica	strain=KS4		latest	Complete Genome	Major	Full	2019/07/31	ASM774744v1	Radboud Universiteit Nijmegen	GCA_007747445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/747/445/GCF_007747445.1_ASM774744v1		assembly from type material	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Poriferisphaera;s__Poriferisphaera corsica	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Poriferisphaera;s__Poriferisphaera corsica	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Poriferisphaera	Poriferisphaera_corsica	007747445
