assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_003213725.2	PRJNA224116	SAMD00106671		representative genome	213	213	Helicobacter cinaedi	strain=P01D0000		latest	Complete Genome	Major	Full	2018/06/09	ASM321372v2	Microbiology, Graduate School of Medical Sciences, Kyushu University	GCA_003213725.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/213/725/GCF_003213725.2_ASM321372v2		
GCF_900476215.1	PRJNA224116	SAMEA44549668		representative genome	217	217	Helicobacter mustelae	strain=NCTC12198		latest	Complete Genome	Major	Full	2018/06/17	51342_F02	SC	GCA_900476215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/215/GCF_900476215.1_51342_F02		assembly from type material
GCF_004328865.1	PRJNA224116	SAMN05271512		representative genome	227	227	Pseudoalteromonas carrageenovora	strain=KCTC 22325		latest	Complete Genome	Major	Full	2019/03/06	ASM432886v1	Korea Research Institute of Bioscience and Biotechnology	GCA_004328865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/328/865/GCF_004328865.1_ASM432886v1		
GCF_900475375.1	PRJNA224116	SAMEA3643315		representative genome	238	238	Elizabethkingia meningoseptica	strain=NCTC10016		latest	Complete Genome	Major	Full	2018/06/17	42685_B01	SC	GCA_900475375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/375/GCF_900475375.1_42685_B01		assembly from type material
GCF_009834475.1	PRJNA224116	SAMN04270324		representative genome	247	247	Empedobacter brevis	strain=BCLYD2		latest	Complete Genome	Major	Full	2020/01/08	ASM983447v1	Institute of Plant Protection, Chinese Academy of Agricultural Sciences	GCA_009834475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/834/475/GCF_009834475.1_ASM983447v1		
GCF_900636535.1	PRJNA224116	SAMEA3643324		representative genome	250	250	Chryseobacterium gleum	strain=NCTC11432		latest	Complete Genome	Major	Full	2018/12/20	42727_A01	SC	GCA_900636535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/535/GCF_900636535.1_42727_A01		assembly from type material
GCF_003815915.1	PRJNA224116	SAMN05421682		representative genome	254	254	Chryseobacterium indoltheticum	strain=ATCC 27950		latest	Complete Genome	Major	Full	2018/11/25	ASM381591v1	Bacterial Special Pathogens Branch (CDC)	GCA_003815915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/815/915/GCF_003815915.1_ASM381591v1		assembly from type material
GCF_901482695.1	PRJNA224116	SAMEA3643323		representative genome	259	259	Sphingobacterium thalpophilum	strain=NCTC11429		latest	Complete Genome	Major	Full	2019/05/11	45076_G02	SC	GCA_901482695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/482/695/GCF_901482695.1_45076_G02		assembly from type material
GCF_004063735.1	PRJNA224116	SAMN10697283		representative genome	266	266	Paracoccus denitrificans	strain=ATCC 19367		latest	Complete Genome	Major	Full	2019/01/20	ASM406373v1	Guangdong Ocean University	GCA_004063735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/063/735/GCF_004063735.1_ASM406373v1		
GCF_009586235.1	PRJNA224116	SAMN12612766		representative genome	292	292	Burkholderia cepacia	strain=BC16		latest	Complete Genome	Major	Full	2019/10/29	ASM958623v1	School of Pharmacy and Life Sciences	GCA_009586235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/586/235/GCF_009586235.1_ASM958623v1		
GCF_003574215.1	PRJNA224116	SAMD00115820		representative genome	297	297	Hydrogenophilus thermoluteolus	strain=TH-1		latest	Complete Genome	Major	Full	2018/06/21	ASM357421v1	Department of Biotechnology, The University of Tokyo	GCA_003574215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/574/215/GCF_003574215.1_ASM357421v1		assembly from type material
GCF_001587155.1	PRJNA224116	SAMN04123299		representative genome	305	305	Ralstonia solanacearum	strain=IBSBF1503		latest	Complete Genome	Major	Full	2016/03/11	ASM158715v1	CIRAD	GCA_001587155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/587/155/GCF_001587155.1_ASM158715v1		
GCF_015680045.1	PRJNA224116	SAMN16439930		representative genome	316	316	Pseudomonas stutzeri	strain=ZDHY95		latest	Complete Genome	Major	Full	2020/11/24	ASM1568004v1	The First Affiliated Hospital of Zhengzhou University	GCA_015680045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/680/045/GCF_015680045.1_ASM1568004v1		
GCF_009931375.1	PRJNA224116	SAMN10913710		representative genome	337	337	Burkholderia glumae	strain=257sh-1		latest	Complete Genome	Major	Full	2020/01/27	ASM993137v1	Louisiana State University	GCA_009931375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/931/375/GCF_009931375.1_ASM993137v1		
GCF_015243835.1	PRJNA224116	SAMN12628543		representative genome	346	346	Xanthomonas citri	strain=UnB-Xtec2D		latest	Complete Genome	Major	Full	2020/11/05	ASM1524383v1	Universidade de Brasilia	GCA_015243835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/243/835/GCF_015243835.1_ASM1524383v1		
GCF_002220155.1	PRJNA224116	SAMN03775251		representative genome	353	353	Azotobacter chroococcum	strain=B3		latest	Complete Genome	Major	Full	2017/07/17	ASM222015v1	Princeton University	GCA_002220155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/155/GCF_002220155.1_ASM222015v1		
GCF_003667905.1	PRJNA224116	SAMN10169604		representative genome	358	358	Agrobacterium tumefaciens	strain=12D1		latest	Complete Genome	Major	Full	2018/10/21	ASM366790v1	Academia Sinica	GCA_003667905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/667/905/GCF_003667905.1_ASM366790v1		
GCF_001664385.1	PRJNA224116	SAMN03998634		representative genome	396	396	Rhizobium phaseoli	strain=R650		latest	Complete Genome	Major	Full	2016/06/17	ASM166438v1	Centro de Ciencias Genomicas UNAM	GCA_001664385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/385/GCF_001664385.1_ASM166438v1		
GCF_014843995.1	PRJNA224116	SAMN16237465		representative genome	436	436	Komagataeibacter hansenii	strain=C110		latest	Complete Genome	Major	Full	2020/10/05	ASM1484399v1	Institute of Bioengineering, Research Center of Biotechnology of RAS	GCA_014843995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/843/995/GCF_014843995.1_ASM1484399v1		
GCF_001941585.1	PRJNA224116	SAMN03988484		representative genome	446	446	Legionella pneumophila	strain=Philadelphia-1	AE	latest	Complete Genome	Major	Full	2017/01/10	ASM194158v1	Public Health Agency of Canada	GCA_001941585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/585/GCF_001941585.1_ASM194158v1		assembly from type material
GCF_000953655.1	PRJNA224116	SAMEA2785664		representative genome	449	449	Legionella hackeliae	strain=ATCC 35250		latest	Complete Genome	Major	Full	2014/12/09	LHA	INSTITUT PASTEUR	GCA_000953655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/655/GCF_000953655.1_LHA		assembly from type material
GCF_000953635.1	PRJNA224116	SAMEA2785665		representative genome	451	451	Tatlockia micdadei	strain=ATCC 33218		latest	Complete Genome	Major	Full	2014/10/21	LMI	INSTITUT PASTEUR	GCA_000953635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/635/GCF_000953635.1_LMI		assembly from type material
GCF_004564155.1	PRJNA224116	SAMN11233593		representative genome	454	454	Legionella israelensis	strain=HL-0427-4011		latest	Complete Genome	Major	Full	2019/04/02	ASM456415v1	Hospices Civils de Lyon	GCA_004564155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/564/155/GCF_004564155.1_ASM456415v1		
GCF_002116925.1	PRJNA224116	SAMN04621185		representative genome	470	470	Acinetobacter baumannii	strain=ab736		latest	Complete Genome	Major	Full	2017/05/02	ASM211692v1	USAMRIID	GCA_002116925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/116/925/GCF_002116925.1_ASM211692v1		
GCF_002055515.1	PRJNA224116	SAMN06197019		representative genome	471	471	Acinetobacter calcoaceticus	strain=CA16		latest	Complete Genome	Major	Full	2017/03/21	ASM205551v1	Southern Crop Protection and Food Research Centre, Agriculture and Agri-Food Canada	GCA_002055515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/055/515/GCF_002055515.1_ASM205551v1		
GCF_003287015.1	PRJNA224116	SAMN09425913		representative genome	476	476	Moraxella bovis	strain=Epp63 (300)		latest	Complete Genome	Major	Full	2018/07/03	ASM328701v1	USDA/ARS	GCA_003287015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/287/015/GCF_003287015.1_ASM328701v1		
GCF_016028775.1	PRJNA224116	SAMN13450399		representative genome	478	478	Moraxella nonliquefaciens	strain=FDAARGOS_869		latest	Complete Genome	Major	Full	2020/12/14	ASM1602877v1	US Food and Drug Administration	GCA_016028775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/028/775/GCF_016028775.1_ASM1602877v1		assembly from type material
GCF_900475315.1	PRJNA224116	SAMEA3714889		representative genome	483	483	Neisseria cinerea	strain=NCTC10294		latest	Complete Genome	Major	Full	2018/06/17	43721_G02	SC	GCA_900475315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/315/GCF_900475315.1_43721_G02		assembly from type material
GCF_005221285.1	PRJNA224116	SAMN11461057		representative genome	484	484	Neisseria flavescens	strain=ATCC 13120		latest	Complete Genome	Major	Full	2019/05/07	ASM522128v1	King's College London	GCA_005221285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/285/GCF_005221285.1_ASM522128v1		assembly from type material
GCF_001047275.1	PRJNA224116	SAMN03459417		representative genome	485	485	Neisseria gonorrhoeae	strain=35/02		latest	Complete Genome	Major	Full	2015/07/07	ASM104727v1	Centers for Disease Control and Prevention	GCA_001047275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/047/275/GCF_001047275.1_ASM104727v1		
GCF_003351565.1	PRJNA224116	SAMN09704838		representative genome	486	486	Neisseria lactamica	strain=M17106		latest	Complete Genome	Major	Full	2018/08/01	ASM335156v1	Centers for Disease Control and Prevention	GCA_003351565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/351/565/GCF_003351565.1_ASM335156v1		
GCF_008330805.1	PRJNA224116	SAMN07137410		representative genome	487	487	Neisseria meningitidis	strain=11-7		latest	Complete Genome	Major	Full	2019/09/09	ASM833080v1	Orebro University Hospital	GCA_008330805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/330/805/GCF_008330805.1_ASM833080v1		
GCF_003355195.1	PRJNA224116	SAMN09704642		representative genome	489	489	Neisseria polysaccharea	strain=M18661		latest	Complete Genome	Major	Full	2018/08/05	ASM335519v1	Centers for Disease Control and Prevention	GCA_003355195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/355/195/GCF_003355195.1_ASM335519v1		
GCF_008806995.1	PRJNA224116	SAMN09853482		representative genome	492	492	Neisseria animalis	strain=ATCC 49930		latest	Complete Genome	Major	Full	2019/10/03	ASM880699v1	Illinois Institute of Technology	GCA_008806995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/806/995/GCF_008806995.1_ASM880699v1		assembly from type material
GCF_900636765.1	PRJNA224116	SAMEA3871785		representative genome	493	493	Neisseria canis	strain=NCTC10296		latest	Complete Genome	Major	Full	2018/12/20	44503_A02	SC	GCA_900636765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/765/GCF_900636765.1_44503_A02		assembly from type material
GCF_003351545.1	PRJNA224116	SAMN09704973		representative genome	495	495	Neisseria elongata	strain=M15911		latest	Complete Genome	Major	Full	2018/08/01	ASM335154v1	Centers for Disease Control and Prevention	GCA_003351545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/351/545/GCF_003351545.1_ASM335154v1		
GCF_014054985.1	PRJNA224116	SAMN15603182		representative genome	505	505	Kingella oralis	strain=DSM 18271		latest	Complete Genome	Major	Full	2020/08/04	ASM1405498v1	INRS-Institut Armand-Frappier	GCA_014054985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/054/985/GCF_014054985.1_ASM1405498v1		assembly from type material
GCF_000967305.2	PRJNA224116	SAMN03379009		representative genome	511	511	Alcaligenes faecalis	strain=ZD02		latest	Complete Genome	Major	Full	2015/11/17	ASM96730v2	Huazhong Agricultural University (HZAU)	GCA_000967305.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/305/GCF_000967305.2_ASM96730v2		
GCF_900636925.1	PRJNA224116	SAMEA3893452		representative genome	518	518	Bordetella bronchiseptica	strain=NCTC10543		latest	Complete Genome	Major	Full	2018/12/20	45137_F01	SC	GCA_900636925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/925/GCF_900636925.1_45137_F01		
GCF_004323615.1	PRJNA224116	SAMD00146597		representative genome	519	519	Bordetella parapertussis	strain=Bpp01		latest	Complete Genome	Major	Full	2018/12/29	ASM432361v1	National Institute of Infectious Diseases	GCA_004323615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/323/615/GCF_004323615.1_ASM432361v1		
GCF_015326295.1	PRJNA224116	SAMN16619790		representative genome	529	529	Ochrobactrum anthropi	strain=PBO		latest	Complete Genome	Major	Full	2020/11/10	ASM1532629v1	The Institute of Oceanology, Chinese Academy of Sciences	GCA_015326295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/326/295/GCF_015326295.1_ASM1532629v1		
GCF_900187105.1	PRJNA224116	SAMEA4412678		representative genome	539	539	Eikenella corrodens	strain=NCTC10596		latest	Complete Genome	Major	Full	2017/08/15	50618_F01	SC	GCA_900187105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/187/105/GCF_900187105.1_50618_F01		assembly from type material
GCF_003812345.1	PRJNA224116	SAMN10163242		representative genome	546	546	Citrobacter freundii	strain=FDAARGOS_549		latest	Complete Genome	Major	Full	2018/11/21	ASM381234v1	US Food and Drug Administration	GCA_003812345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/345/GCF_003812345.1_ASM381234v1		
GCF_900637945.1	PRJNA224116	SAMEA80457418		representative genome	548	548	Klebsiella aerogenes	strain=NCTC9735		latest	Complete Genome	Major	Full	2018/12/20	53421_E01	SC	GCA_900637945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/945/GCF_900637945.1_53421_E01		
GCF_003860325.1	PRJNA224116	SAMN07109613		representative genome	549	549	Pantoea agglomerans	strain=L15		latest	Complete Genome	Major	Full	2018/12/04	ASM386032v1	Institute of Biochemistry and Biophysics of the Polish Academy of Sciences	GCA_003860325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/860/325/GCF_003860325.1_ASM386032v1		
GCF_000770155.1	PRJNA224116	SAMN03005138		representative genome	550	550	Enterobacter cloacae	strain=GGT036		latest	Complete Genome	Major	Full	2014/10/31	ASM77015v1	Korea Institute of Science and Technology	GCA_000770155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/770/155/GCF_000770155.1_ASM77015v1		
GCF_013488025.1	PRJNA224116	SAMN14475103		representative genome	554	554	Pectobacterium carotovorum	strain=WPP14		latest	Complete Genome	Major	Full	2020/07/23	ASM1348802v1	Cornell University	GCA_013488025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/488/025/GCF_013488025.1_ASM1348802v1		
GCF_013892435.1	PRJNA224116	SAMN15148162		representative genome	564	564	Escherichia fergusonii	strain=RHB19-C05		latest	Complete Genome	Major	Full	2020/07/29	ASM1389243v1	The REHAB Consortium	GCA_013892435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/892/435/GCF_013892435.1_ASM1389243v1		
GCF_008064855.1	PRJNA224116	SAMN01915842		representative genome	565	565	Atlantibacter hermannii	strain=ATCC 33651		latest	Complete Genome	Major	Full	2019/08/22	ASM806485v1	CDC	GCA_008064855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/064/855/GCF_008064855.1_ASM806485v1		
GCF_011617105.1	PRJNA224116	SAMN14329752		representative genome	569	569	Hafnia alvei	strain=A23BA		latest	Complete Genome	Major	Full	2020/03/23	ASM1161710v1	Robert Gordon University	GCA_011617105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/617/105/GCF_011617105.1_ASM1161710v1		
GCF_000783935.2	PRJNA224116	SAMN02934513		representative genome	575	575	Raoultella planticola	strain=FDAARGOS_64		latest	Complete Genome	Major	Full	2018/01/30	ASM78393v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_000783935.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/935/GCF_000783935.2_ASM78393v2		
GCF_012029655.1	PRJNA224116	SAMN14446261		representative genome	577	577	Raoultella terrigena	strain=JH01		latest	Complete Genome	Major	Full	2020/04/04	ASM1202965v1	University of Kontanz	GCA_012029655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/029/655/GCF_012029655.1_ASM1202965v1		
GCF_003204135.1	PRJNA224116	SAMN04014923		representative genome	587	587	Providencia rettgeri	strain=AR_0082		latest	Complete Genome	Major	Full	2018/06/10	ASM320413v1	Centers for Disease Control and Prevention	GCA_003204135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/204/135/GCF_003204135.1_ASM320413v1		
GCF_015160915.1	PRJNA224116	SAMN16268784		representative genome	615	615	Serratia marcescens	strain=SCQ1		latest	Complete Genome	Major	Full	2020/11/01	ASM1516091v1	Southwest University	GCA_015160915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/160/915/GCF_015160915.1_ASM1516091v1		
GCF_015475595.1	PRJNA224116	SAMN16094609		representative genome	622	622	Shigella dysenteriae	strain=HNCMB 20080		latest	Complete Genome	Major	Full	2020/11/13	ASM1547559v1	Justus-Liebig-University Giessen	GCA_015475595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/475/595/GCF_015475595.1_ASM1547559v1		
GCF_014295015.1	PRJNA224116	SAMN15849948		representative genome	628	628	Xenorhabdus nematophila	strain=SII		latest	Complete Genome	Major	Full	2020/08/25	ASM1429501v1	Nanjing Agricultural University	GCA_014295015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/295/015/GCF_014295015.1_ASM1429501v1		
GCF_000987925.1	PRJNA224116	SAMN03434891		representative genome	630	630	Yersinia enterocolitica	strain=FORC_002		latest	Complete Genome	Major	Full	2015/05/05	ASM98792v1	Seoul National University	GCA_000987925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/987/925/GCF_000987925.1_ASM98792v1		
GCF_009730055.1	PRJNA224116	SAMN11056445		representative genome	631	631	Yersinia intermedia	strain=FDAARGOS_730		latest	Complete Genome	Major	Full	2019/12/05	ASM973005v1	US Food and Drug Administration	GCA_009730055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/055/GCF_009730055.1_ASM973005v1		
GCF_900637475.1	PRJNA224116	SAMEA4442458		representative genome	633	633	Yersinia pseudotuberculosis	strain=NCTC10275		latest	Complete Genome	Major	Full	2018/12/20	51108_B01	SC	GCA_900637475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/475/GCF_900637475.1_51108_B01		assembly from type material
GCF_002504285.1	PRJNA224116	SAMN07695532		representative genome	636	636	Edwardsiella tarda	strain=KC-Pc-HB1		latest	Complete Genome	Major	Full	2017/10/10	ASM250428v1	Korea Research Institute of Bioscience & Biotechnology	GCA_002504285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/504/285/GCF_002504285.1_ASM250428v1		
GCF_003491245.1	PRJNA224116	SAMN05589911		representative genome	644	644	Aeromonas hydrophila	strain=ZYAH75		latest	Complete Genome	Major	Full	2018/09/07	ASM349124v1	HuaZhong Agricultural University	GCA_003491245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/491/245/GCF_003491245.1_ASM349124v1		
GCF_012931585.1	PRJNA224116	SAMN14515089		representative genome	645	645	Aeromonas salmonicida	strain=SRW-OG1		latest	Complete Genome	Major	Full	2020/04/29	ASM1293158v1	Jimei University	GCA_012931585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/931/585/GCF_012931585.1_ASM1293158v1		
GCF_014161425.1	PRJNA224116	SAMD00194563		representative genome	651	651	Aeromonas media	strain=WP7-W18-ESBL-02		latest	Complete Genome	Major	Full	2020/07/21	ASM1416142v1	Laboratory of Bacterial Genomics, Pathogen Genomics Center, National Institute of Infectious Diseases	GCA_014161425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/161/425/GCF_014161425.1_ASM1416142v1		
GCF_008693705.1	PRJNA224116	SAMN11056347		representative genome	654	654	Aeromonas veronii	strain=FDAARGOS_632		latest	Complete Genome	Major	Full	2019/09/25	ASM869370v1	US Food and Drug Administration	GCA_008693705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/705/GCF_008693705.1_ASM869370v1		
GCF_016026615.1	PRJNA224116	SAMN13450463		representative genome	656	656	Aeromonas allosaccharophila	strain=FDAARGOS_933		latest	Complete Genome	Major	Full	2020/12/14	ASM1602661v1	US Food and Drug Administration	GCA_016026615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/026/615/GCF_016026615.1_ASM1602661v1		
GCF_000770115.1	PRJNA224116	SAMN03075601		representative genome	669	669	Vibrio harveyi	strain=ATCC 33843 (392 [MAV])		latest	Complete Genome	Major	Full	2014/12/05	ASM77011v2	NRL	GCA_000770115.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/770/115/GCF_000770115.1_ASM77011v2		
GCF_004006515.1	PRJNA224116	SAMN09874427		representative genome	670	670	Vibrio parahaemolyticus	strain=VPD14		latest	Complete Genome	Major	Full	2019/01/09	ASM400651v1	Shanghai Ocean University	GCA_004006515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/006/515/GCF_004006515.1_ASM400651v1		
